from,to,year,relationship,sector,channel
le,pma ,2017,contract,modeling,
le,pma ,2018,contract,modeling,
le,pma ,2019,contract,modeling,
le,pma ,2020,contract,modeling,
le,pma ,2021,contract,modeling,
le,pma ,2022,contract,modeling,
le,werweissdennsowas,2017,candidate ,tv show,ARD
le,annettegoertz,2016,model,modeling,
le,breuninger,2016,model,modeling,
le,tinamyake,,model,modeling,
le,franziskus,2014,love,,
le,franziskus,2015,love,,
le,franziskus,2016,love,,
le,franziskus,2017,love,,
le,franziskus,2018,love,,
le,franziskus,2019,love,,
le,ausbildung,2020,trainee,,
le,youandi,2013,model,modeling,
le,bonprix,2013,model,modeling,
le,mietenkaufenwohnen,,candidate,tv show,VOX
le,Instagram,2013,influencer,social media,
le,Instagram,2014,influencer,social media,
le,Instagram,2015,influencer,social media,
le,Instagram,2016,influencer,social media,
le,Instagram,2017,influencer,social media,
le,Instagram,2018,influencer,social media,
le,Instagram,2019,influencer,social media,
le,Instagram,2020,influencer,social media,
le,Instagram,2021,influencer,social media,
le,Instagram,2022,influencer,social media,
mvg,GNTM,2013,candidate,tv show,Pro7
mvg,thomasrath,,model,modeling,
mvg,HUFmagazine,,model,modeling,
mvg,campdavid,,model,modeling,
lw,GNTM,2013,candidate,tv show,Pro7
lw,Fashionweek_Berlin ,2013,model,modeling,
lw,OneEins,2013,contract,modeling,
lw,krankenschwester,,job,health,
sg,gntm,2014,candidate,tv show,Pro7
sg,Instagram,2022,influencer,social media,
sg,cosmopolitan,2014,model,modeling,
sg,OneEins,2014,contract,modeling,
sg,OneEins,2015,contract,modeling,
sg,musemodels,2017,contract,modeling,
sg,musemodels,2018,contract,modeling,
sg,musemodels,2019,contract,modeling,
sg,musemodels,2020,contract,modeling,
sg,musemodels,2021,contract,modeling,
sg,musemodels,2022,contract,modeling,
sg,instyle,2019,model,modeling,
sg,nylon,2019,model,modeling,
sg,vogue,2017,model,modeling,
sg,grazia,2018,model,modeling,
sg,tush,2018,model,modeling,
sg,glamour,2021,model,modeling,
sg,wmhealth,2016,model,modeling,
sg,furla,2018,ambassodor ,advertisement,
sg,calvink,2015,model,advertisement,
sg,hugoboss,2018,model,advertisement,
sg,michaelkors,2016,model,advertisement,
